,noise,layer,experiment
32,21.42295,L1,vivo
52,20.640306,L1,vivo
53,20.587341,L1,vivo
54,20.984163,L1,vivo
55,20.67436,L1,vivo
56,21.195763,L1,vivo
57,20.868519,L1,vivo
58,20.426046,L1,vivo
59,20.477541,L1,vivo
60,21.585173,L1,vivo
61,20.930311,L1,vivo
62,20.70872,L1,vivo
63,20.999355,L1,vivo
65,20.816837,L1,vivo
66,20.298466,L1,vivo
67,20.724852,L1,vivo
51,20.792402,L1,vivo
50,21.123856,L1,vivo
64,21.038816,L1,vivo
48,20.956554,L1,vivo
49,21.27003,L1,vivo
33,19.578527,L1,vivo
34,19.581087,L1,vivo
36,22.06559,L1,vivo
37,19.86002,L1,vivo
38,21.505716,L1,vivo
39,20.382881,L1,vivo
35,21.284487,L1,vivo
41,20.140398,L1,vivo
42,21.524706,L1,vivo
43,20.446373,L1,vivo
44,21.827005,L1,vivo
45,20.513342,L1,vivo
46,21.670126,L1,vivo
40,22.19575,L1,vivo
47,20.708893,L1,vivo
109,22.84528,L2_3,vivo
108,24.825632,L2_3,vivo
107,22.468298,L2_3,vivo
106,24.55243,L2_3,vivo
105,22.031538,L2_3,vivo
102,23.789127,L2_3,vivo
103,22.062927,L2_3,vivo
101,22.022139,L2_3,vivo
100,22.769608,L2_3,vivo
110,25.560827,L2_3,vivo
99,22.028498,L2_3,vivo
104,23.736818,L2_3,vivo
111,22.9241,L2_3,vivo
120,25.094875,L2_3,vivo
113,23.14361,L2_3,vivo
114,24.988478,L2_3,vivo
115,23.121775,L2_3,vivo
116,25.920332,L2_3,vivo
117,23.684622,L2_3,vivo
118,25.158205,L2_3,vivo
119,24.644493,L2_3,vivo
121,25.054976,L2_3,vivo
122,25.51648,L2_3,vivo
123,24.511427,L2_3,vivo
124,25.181332,L2_3,vivo
125,23.911503,L2_3,vivo
98,22.777378,L2_3,vivo
112,26.489012,L2_3,vivo
97,21.300674,L2_3,vivo
79,22.09639,L2_3,vivo
95,22.890482,L2_3,vivo
68,21.244595,L2_3,vivo
69,20.760246,L2_3,vivo
70,20.666382,L2_3,vivo
71,21.580278,L2_3,vivo
72,21.237877,L2_3,vivo
73,21.17212,L2_3,vivo
74,20.47692,L2_3,vivo
75,21.539103,L2_3,vivo
76,21.018038,L2_3,vivo
77,21.523033,L2_3,vivo
78,21.645208,L2_3,vivo
126,22.424814,L2_3,vivo
80,21.263115,L2_3,vivo
81,22.380037,L2_3,vivo
82,22.764946,L2_3,vivo
83,23.157568,L2_3,vivo
84,22.202988,L2_3,vivo
85,24.55335,L2_3,vivo
86,26.142214,L2_3,vivo
87,25.88955,L2_3,vivo
88,23.983269,L2_3,vivo
89,23.365465,L2_3,vivo
90,24.436338,L2_3,vivo
91,25.06033,L2_3,vivo
92,21.555693,L2_3,vivo
93,22.936836,L2_3,vivo
94,22.420525,L2_3,vivo
96,21.724968,L2_3,vivo
127,21.66778,L2_3,vivo
